date,code,open,high,low,close,change,volume
2026/07/31,2368,793,793,784,793,72,2926470
2026/07/31,2383,4745,4745,4745,4745,430,1418920
2026/07/31,6770,54.5,54.5,54.5,54.5,4.95,25422284
2026/07/31,TX,42331,43951,42305,43678,3392,91473
2026/08/03,2308,1610,1645,1560,1580,-60,17410913
2026/08/03,2330,2390,2395,2365,2370,-55,35209944
2026/08/03,2368,850,872,841,872,79,5040562
2026/08/03,2383,5135,5195,4930,4980,235,4183768
2026/08/03,6770,54,56.6,53.9,54.7,0.2,207280186
2026/08/03,TX,43186,43836,42989,43230,-497,69550
2026/08/04,2308,1530,1680,1520,1620,40,20958807
2026/08/04,2330,2335,2360,2310,2320,-50,41021199
2026/08/04,2368,901,903,858,897,25,13604855
2026/08/04,2383,4995,5210,4875,5140,160,2925218
2026/08/04,6770,55,60.1,54.4,60.1,5.4,186379339
2026/08/04,TX,42750,43790,42553,43357,138,73478
2026/08/05,2308,1705,1720,1645,1650,30,16778461
2026/08/05,2330,2385,2415,2370,2405,85,36782301
2026/08/05,2368,950,969,919,940,43,13005498
2026/08/05,2383,5425,5425,5165,5245,105,2477774
2026/08/05,6770,63.4,66.1,62.2,66.1,6,240808216
2026/08/05,TX,44653,44923,44219,44514,1170,67212
2026/08/06,2308,1650,1700,1625,1680,30,10907572
2026/08/06,2330,2395,2395,2360,2365,-40,25536816
2026/08/06,2368,925,1030,906,985,45,12847174
2026/08/06,2383,5200,5380,5105,5305,60,1863164
2026/08/06,6770,66.4,68.5,65,66.6,0.5,444029387
2026/08/06,TX,44177,44494,43843,44280,-257,55986
2026/08/07,2308,1700,1715,1635,1650,-30,10432120
2026/08/07,2330,2390,2395,2355,2370,5,24414025
2026/08/07,2368,985,1015,941,982,-3,12352014
2026/08/07,2383,5400,5400,5180,5240,-65,1362847
2026/08/07,6770,67.5,68.4,65,65.5,-1.1,218297117
2026/08/07,TX,44588,44744,43923,44349,91,56058
2026/08/10,2308,1695,1815,1690,1815,165,10318139
2026/08/10,2330,2390,2410,2380,2380,10,21498241
2026/08/10,2368,985,1000,910,926,-56,18011976
2026/08/10,2383,5330,5510,5230,5290,50,1972845
2026/08/10,6770,66.6,69.4,66.6,67.6,2.1,231526872
2026/08/10,TX,44985,45219,44668,44987,690,49606
2026/08/11,2308,1835,1865,1785,1805,-10,18963715
2026/08/11,2330,2390,2405,2375,2395,15,18247582
2026/08/11,2368,917,984,915,964,38,12989095
2026/08/11,2383,5300,5535,5240,5535,245,2826640
2026/08/11,6770,66.4,67.5,65.3,67,-0.6,110831134
2026/08/11,TX,44761,45200,44570,45090,100,50327
2026/08/12,2308,1810,1830,1785,1790,-15,9097777
2026/08/12,2330,2405,2415,2390,2415,20,19448153
2026/08/12,2368,1015,1045,964,1000,36,19889143
2026/08/12,2383,5500,5730,5480,5730,195,1635510
2026/08/12,6770,68,73.7,67.9,73.7,6.7,428615022
2026/08/12,TX,45350,45561,45156,45528,443,48409
2026/08/13,2308,1845,1915,1845,1885,95,14453120
2026/08/13,2330,2440,2445,2425,2435,20,26233385
2026/08/13,2368,1030,1045,994,1010,10,14515709
2026/08/13,2383,5875,5875,5655,5690,-40,1568694
2026/08/13,6770,75,77.4,72.7,74.9,1.2,471309109
2026/08/13,TX,46120,46250,45840,46005,489,43260
2026/08/14,2308,1945,1975,1865,1885,0,14036875
2026/08/14,2330,2435,2440,2395,2395,-40,21162682
2026/08/14,2368,1015,1065,995,1015,5,9269180
2026/08/14,2383,5790,6200,5770,6165,475,2986895
2026/08/14,6770,76.6,81.8,76.3,78.4,3.5,527933484
2026/08/14,TX,46466,46470,45676,45841,-184,57509
2026/08/17,2308,1950,2005,1885,1885,0,13421490
2026/08/17,2330,2410,2420,2390,2400,5,13482456
2026/08/17,2368,1020,1025,995,1010,-5,6281786
2026/08/17,2383,6165,6445,6110,6350,185,1910755
2026/08/17,6770,79.9,79.9,74.2,74.6,-3.8,259955163
2026/08/17,TX,45850,46140,45738,45888,76,79450
2026/08/18,2308,1900,1905,1820,1820,-65,11391040
